timeMs,fixedGiB,dynamicGiB,feasibleGiB
19.8,0.339019775,0.439041138,0.461004674
19.9,0.34147644,0.441726685,0.463332981
20.0,0.343818665,0.443824768,0.465661287
20.1,0.346206665,0.445503235,0.467989594
20.2,0.34803009,0.448059082,0.4703179
20.3,0.350730896,0.449966431,0.472646207
20.4,0.352813721,0.452507019,0.474974513
20.5,0.35483551,0.454574585,0.477302819
20.6,0.357307434,0.45715332,0.479631126
20.7,0.359695435,0.459274292,0.481959432
20.8,0.361686707,0.461677551,0.484287739
20.9,0.364143372,0.463668823,0.486616045
21.0,0.366195679,0.465766907,0.488944352
21.1,0.368232727,0.467437744,0.491272658
21.2,0.370658875,0.467819214,0.493600965
21.3,0.373092651,0.469970703,0.495929271
21.4,0.375473022,0.472351074,0.498257577
21.5,0.377235413,0.474502563,0.500585884
21.6,0.379714966,0.476356506,0.50291419
21.7,0.381767273,0.478759766,0.505242497
21.8,0.383659363,0.481399536,0.507570803
21.9,0.386077881,0.483451843,0.50989911
22.0,0.388687134,0.485702515,0.512227416
22.1,0.390853882,0.487983704,0.514555722
22.2,0.392776489,0.490196228,0.516884029
22.3,0.395385742,0.492164612,0.519212335
22.4,0.397537231,0.494468689,0.521540642
22.5,0.399383545,0.496795654,0.523868948
22.6,0.401817322,0.499092102,0.526197255
22.7,0.403808594,0.501358032,0.528525561
22.8,0.406082153,0.503623962,0.530853868
22.9,0.408203125,0.506019592,0.533182174
23.0,0.410919189,0.507987976,0.53551048
23.1,0.412826538,0.5102005,0.537838787
23.2,0.415077209,0.512329102,0.540167093
23.3,0.41734314,0.51436615,0.5424954
23.4,0.418815613,0.516830444,0.544823706
23.5,0.419067383,0.518867493,0.547152013
23.6,0.419281006,0.521591187,0.549480319
23.7,0.419487,0.523597717,0.551808625
23.8,0.419662476,0.525688171,0.554136932
23.9,0.419891357,0.528091431,0.556465238
24.0,0.420089722,0.530029297,0.558793545
24.1,0.420288086,0.532501221,0.561121851
24.2,0.420471191,0.534545898,0.563450158
24.3,0.420669556,0.537231445,0.565778464
24.4,0.420845032,0.539276123,0.568106771
24.5,0.421073914,0.541046143,0.570435077
24.6,0.421302795,0.543754578,0.572763383
24.7,0.421447754,0.545730591,0.57509169
24.8,0.421630859,0.548019409,0.577419996
24.9,0.4217453,0.550178528,0.579748303
25.0,0.42199707,0.552848816,0.582076609
25.1,0.422180176,0.554832458,0.584404916
25.2,0.422363281,0.557136536,0.586733222
25.3,0.422561646,0.559425354,0.589061528
25.4,0.422790527,0.561782837,0.591389835
25.5,0.422996521,0.56388855,0.593718141
25.6,0.423187256,0.566139221,0.596046448
25.7,0.424057007,0.568481445,0.598374754
25.8,0.425918579,0.570632935,0.600703061
25.9,0.428245544,0.572898865,0.603031367
26.0,0.430526733,0.575263977,0.605359674
26.1,0.432937622,0.577415466,0.60768798
26.2,0.43473053,0.579795837,0.610016286
26.3,0.437332153,0.581954956,0.612344593
26.4,0.439735413,0.584632874,0.614672899
26.5,0.441596985,0.586730957,0.617001206
26.6,0.44417572,0.588653564,0.619329512
26.7,0.445648193,0.591209412,0.621657819
26.8,0.448219299,0.59337616,0.623986125
26.9,0.450820923,0.595405579,0.626314431
27.0,0.45224762,0.597801208,0.628642738
27.1,0.454788208,0.600311279,0.630971044
27.2,0.456100464,0.602333069,0.633299351
27.3,0.45854187,0.60433197,0.635627657
27.4,0.460968018,0.607048035,0.637955964
27.5,0.46231842,0.609191895,0.64028427
27.6,0.464729309,0.610870361,0.642612576
27.7,0.466964722,0.61341095,0.644940883
27.8,0.468551636,0.615386963,0.647269189
27.9,0.469116211,0.617645264,0.649597496
28.0,0.470832825,0.619804382,0.651925802
28.1,0.473167419,0.622512817,0.654254109
28.2,0.475524902,0.624679565,0.656582415
28.3,0.477516174,0.626449585,0.658910722
28.4,0.479911804,0.628982544,0.661239028
28.5,0.482147217,0.631263733,0.663567334
28.6,0.484230042,0.633506775,0.665895641
28.7,0.486404419,0.635475159,0.668223947
28.8,0.488815308,0.638076782,0.670552254
28.9,0.491279602,0.640151978,0.67288056
29.0,0.493247986,0.642066956,0.675208867
29.1,0.495574951,0.644485474,0.677537173
29.2,0.498039246,0.647102356,0.679865479
29.3,0.500137329,0.649147034,0.682193786
29.4,0.502334595,0.651046753,0.684522092
29.5,0.50479126,0.653709412,0.686850399
29.6,0.507141113,0.655883789,0.689178705
29.7,0.509208679,0.657951355,0.691507012
29.8,0.511367798,0.660240173,0.693835318
29.9,0.513801575,0.66268158,0.696163625
30.0,0.515907288,0.664810181,0.698491931
30.1,0.518051147,0.666992188,0.700820237
30.2,0.520385742,0.669258118,0.703148544
30.3,0.522987366,0.671836853,0.70547685
30.4,0.525062561,0.673873901,0.707805157
30.5,0.526931763,0.675956726,0.710133463
30.6,0.52961731,0.678321838,0.71246177
30.7,0.531745911,0.680419922,0.714790076
30.8,0.533638,0.682746887,0.717118382
30.9,0.536079407,0.684997559,0.719446689
31.0,0.538665771,0.687553406,0.721774995
31.1,0.540939331,0.689468384,0.724103302
31.2,0.542610168,0.691741943,0.726431608
31.3,0.54535675,0.693939209,0.728759915
31.4,0.547325134,0.695968628,0.731088221
31.5,0.549110413,0.698348999,0.733416528
31.6,0.55166626,0.700500488,0.735744834
31.7,0.553878784,0.703094482,0.73807314
31.8,0.556274414,0.705047607,0.740401447
31.9,0.558097839,0.707359314,0.742729753
32.0,0.560897827,0.709335327,0.74505806
32.1,0.562950134,0.711364746,0.747386366
32.2,0.564781189,0.7135849,0.749714673
32.3,0.567321777,0.715766907,0.752042979
32.4,0.569671631,0.717391968,0.754371285
32.5,0.572036743,0.717796326,0.756699592
32.6,0.57384491,0.719917297,0.759027898
32.7,0.576553345,0.722244263,0.761356205
32.8,0.578613281,0.724433899,0.763684511
32.9,0.580604553,0.726364136,0.766012818
33.0,0.582801819,0.728858948,0.768341124
33.1,0.585502625,0.731056213,0.77066943
33.2,0.587669373,0.733322144,0.772997737
33.3,0.589370728,0.735420227,0.775326043
33.4,0.592132568,0.738082886,0.77765435
33.5,0.5938797,0.740257263,0.779982656
33.6,0.596412659,0.742256165,0.782310963
33.7,0.59828949,0.744674683,0.784639269
33.8,0.600265503,0.747192383,0.786967576
33.9,0.602958679,0.749282837,0.789295882
34.0,0.605117798,0.751296997,0.791624188
34.1,0.60760498,0.753952026,0.793952495
34.2,0.609336853,0.756164551,0.796280801
34.3,0.61190033,0.758071899,0.798609108
34.4,0.613815308,0.760528564,0.800937414
34.5,0.615638733,0.762931824,0.803265721
34.6,0.618209839,0.764976501,0.805594027
34.7,0.620620728,0.767112732,0.807922333
34.8,0.622970581,0.769721985,0.81025064
34.9,0.624954224,0.772064209,0.812578946
35.0,0.627304077,0.773902893,0.814907253
35.1,0.62979126,0.776367188,0.817235559
35.2,0.632118225,0.778572083,0.819563866
35.3,0.633712769,0.780578613,0.821892172
35.4,0.636436462,0.782958984,0.824220479
35.5,0.638412476,0.785499573,0.826548785
35.6,0.640586853,0.787788391,0.828877091
35.7,0.64276886,0.789672852,0.831205398
35.8,0.645484924,0.792121887,0.833533704
35.9,0.647529602,0.794052124,0.835862011
36.0,0.649536133,0.796051025,0.838190317
36.1,0.652069092,0.798614502,0.840518624
36.2,0.654304504,0.801017761,0.84284693
36.3,0.656440735,0.803436279,0.845175236
36.4,0.658706665,0.805229187,0.847503543
36.5,0.661216736,0.807685852,0.849831849
36.6,0.663246155,0.809677124,0.852160156
36.7,0.66545105,0.811676025,0.854488462
36.8,0.667388916,0.814254761,0.856816769
36.9,0.668395996,0.816505432,0.859145075
37.0,0.668548584,0.819023132,0.861473382
37.1,0.668731689,0.82093811,0.863801688
37.2,0.668907166,0.823371887,0.866129994
37.3,0.669181824,0.825386047,0.868458301
37.4,0.669403076,0.82749176,0.870786607
37.5,0.669555664,0.829841614,0.873114914
37.6,0.669761658,0.832443237,0.87544322
37.7,0.66998291,0.834609985,0.877771527
37.8,0.670173645,0.836257935,0.880099833
37.9,0.670295715,0.838829041,0.882428139
38.0,0.67049408,0.840751648,0.884756446
38.1,0.670692444,0.842880249,0.887084752
38.2,0.670875549,0.845062256,0.889413059
38.3,0.671066284,0.847839355,0.891741365
38.4,0.671287537,0.849983215,0.894069672
38.5,0.672073364,0.851959229,0.896397978
38.6,0.673751831,0.853919983,0.898726285
38.7,0.67603302,0.856445312,0.901054591
38.8,0.678260803,0.858558655,0.903382897
38.9,0.680732727,0.860832214,0.905711204
39.0,0.682479858,0.86341095,0.90803951
39.1,0.685073853,0.865509033,0.910367817
39.2,0.6876297,0.867462158,0.912696123
39.3,0.68939209,0.870025635,0.91502443
39.4,0.691986084,0.872261047,0.917352736
39.5,0.694335938,0.874320984,0.919681042
39.6,0.696372986,0.876564026,0.922009349
39.7,0.698982239,0.87915802,0.924337655
39.8,0.700675964,0.881362915,0.926665962
39.9,0.703384399,0.88318634,0.928994268
40.0,0.70589447,0.88584137,0.931322575
40.1,0.707473755,0.888053894,0.933650881
40.2,0.71018219,0.889892578,0.935979187
40.3,0.711662292,0.892272949,0.938307494
40.4,0.714012146,0.894607544,0.9406358
40.5,0.716178894,0.896736145,0.942964107
40.6,0.717979431,0.898780823,0.945292413
40.7,0.719116211,0.901535034,0.94762072
40.8,0.720298767,0.903694153,0.949949026
40.9,0.722137451,0.90549469,0.952277333
41.0,0.723823547,0.907974243,0.954605639
41.1,0.725410461,0.910140991,0.956933945
41.2,0.727890015,0.91229248,0.959262252
41.3,0.729621887,0.914497375,0.961590558
41.4,0.732376099,0.917076111,0.963918865
41.5,0.734474182,0.919197083,0.966247171
41.6,0.737030029,0.92098999,0.968575478
41.7,0.739059448,0.92351532,0.970903784
41.8,0.741416931,0.925575256,0.97323209
41.9,0.743865967,0.928077698,0.975560397
42.0,0.746131897,0.929931641,0.977888703
42.1,0.747955322,0.932731628,0.98021701
42.2,0.750686646,0.934837341,0.982545316
42.3,0.75276947,0.936561584,0.984873623
42.4,0.754600525,0.938957214,0.987201929
42.5,0.757087708,0.941589355,0.989530236
42.6,0.759735107,0.943687439,0.991858542
42.7,0.761940002,0.945533752,0.994186848
42.8,0.763793945,0.948265076,0.996515155
42.9,0.766319275,0.950424194,0.998843461
43.0,0.768569946,0.952293396,1.001171768
43.1,0.770751953,0.954727173,1.003500074
43.2,0.772766113,0.95715332,1.005828381
43.3,0.775413513,0.959182739,1.008156687
43.4,0.777542114,0.961097717,1.010484993
43.5,0.779388428,0.963645935,1.0128133
43.6,0.781791687,0.965858459,1.015141606
43.7,0.78427887,0.967544556,1.017469913
43.8,0.786491394,0.967926025,1.019798219
43.9,0.788391113,0.96950531,1.022126526
44.0,0.791038513,0.97190094,1.024454832
44.1,0.793144226,0.973571777,1.026783139
44.2,0.795188904,0.975730896,1.029111445
44.3,0.797538757,0.977958679,1.031439751
44.4,0.800140381,0.979598999,1.033768058
44.5,0.802192688,0.982322693,1.036096364
44.6,0.804229736,0.984359741,1.038424671
