system,system_id,time_ms,median_gbps,min_gbps,max_gbps,q1_gbps,q3_gbps,attempts
ATP,1,0.5,61.43294468296504,32.604089291828174,78.68481535999999,55.20230103562763,69.1541248674827,10
ATP,1,1.5,86.55884776573825,58.13993472,98.56820883518304,76.106727424,94.41072117544743,10
ATP,1,2.5,94.3746947520961,76.221382656,99.01441023999999,82.92305453203605,95.47882496000001,10
ATP,1,3.5,98.257829888,90.215940096,98.959130624,95.98006333174027,98.90413942544143,10
ATP,1,4.5,98.865840128,94.47604224,98.98475998043,98.681192448,98.94398594332496,10
ATP,1,5.5,98.82316462535957,94.7396608,99.113271296,97.31527475200001,98.93986304,10
ATP,1,6.5,98.08720655191209,92.14221622582583,98.95936,96.9463239808128,98.92724736000001,10
ATP,1,7.5,98.65075017560802,93.12452607999998,99.02882815999999,96.86827026004397,98.96757753562004,10
ATP,1,8.5,98.90475497596803,92.75349352618345,99.04010035200001,98.40665395200001,98.96969408675419,10
ATP,1,9.5,98.941599744,97.22491696149297,99.05809716737538,98.77316228535736,98.975268864,10
SwitchML,2,-7.5,47.78495663339093,47.66850879625005,47.99692357295817,47.74835096131934,47.879003081946095,10
SwitchML,2,-6.5,48.51085545108705,48.28114930369685,48.73470154424982,48.437254020864465,48.663879222544296,10
SwitchML,2,-5.5,48.69526121279387,48.46681088615014,48.952304755827825,48.58257697800967,48.78694033877446,10
SwitchML,2,-4.5,48.87805461282913,48.6340010294638,48.95515760547748,48.808787714264305,48.90302915104726,10
SwitchML,2,-3.5,48.894759900222425,48.57905151999999,49.02081025101749,48.73841477353983,48.96678100124633,10
SwitchML,2,-2.5,48.89548592305969,48.55689950088312,49.029855022735305,48.858308684518406,48.96552700031556,10
SwitchML,2,-1.5,49.03726519441413,48.719161578726315,49.184930101557555,48.955736267595974,49.06966798410997,10
SwitchML,2,-0.5,58.11496070079622,54.27029025825826,59.5270065930592,55.50173101422715,58.92791090618319,10
SwitchML,2,0.5,79.01447761078855,76.7642010018981,80.49369621013014,78.03042246143175,79.4513160339454,10
SwitchML,2,1.5,83.55360342042607,82.44209402955124,84.13528940036971,83.18359033337337,83.76432854825175,10
SwitchML,2,2.5,83.29747618323617,82.11946097652748,84.45822272832834,82.79420065682183,83.38466433406592,10
SwitchML,2,3.5,83.33817551922075,82.83172410528928,84.47943693198349,83.0817997314681,84.07472756545346,10
SwitchML,2,4.5,83.49494026124994,82.62328270260039,84.54521413255749,82.96875779285968,84.15048450070888,10
SwitchML,2,5.5,83.47458590946744,82.06445007704116,84.52512461927527,82.41943384410722,83.82815935343051,10
SwitchML,2,6.5,83.1342917588826,82.10325279763438,84.52624863711712,82.77675188544274,83.95778117722631,10
SwitchML,2,7.5,83.51514624,82.60583653146853,84.66185214257071,83.16311916498898,84.22089849622992,10
SwitchML,2,8.5,83.54927272075125,82.72349606961612,84.52379805160604,83.13934379526296,84.24673125016217,10
SwitchML,2,9.5,83.43008157686907,82.73758761077289,84.63695271882972,82.89132155547259,84.15362558874725,10
